"CODDIS","NOMDIS","COD_DISBAR","NOMBRE","area_km2","HLI","ranking","regla_3_pct","regla_30_pct","regla_300_pct","score_3_30_300","score_medio_3_30_300","rank_3_30_300"
"1","Centro","11","Palacio",1.47,0.487,36,84.5,35.6,72.9,23.2,64.3,20
"1","Centro","12","Embajadores",1.034,0.418,67,94.4,0.3,14.7,0,36.5,92
"1","Centro","13","Cortes",0.592,0.212,128,94.5,15,36.8,7,48.8,56
"1","Centro","14","Justicia",0.739,0.279,113,92,0,29.2,0,40.4,92
"1","Centro","15","Universidad",0.948,0.47,44,95.7,0,16.7,0,37.5,92
"1","Centro","16","Sol",0.445,0.119,131,85.6,0,1.3,0,29,92
"2","Arganzuela","21","Imperial",0.968,0.429,64,91.1,9.3,8.9,7.4,36.4,55
"2","Arganzuela","22","Acacias",1.073,0.591,10,97.3,40.1,54.6,33.5,64,6
"2","Arganzuela","23","Chopera",0.568,0.734,3,96.4,8.6,0,0,35,92
"2","Arganzuela","24","Legazpi",1.414,0.576,16,97.2,33.6,42.8,22.1,57.9,22
"2","Arganzuela","25","Delicias",1.055,0.518,29,95.2,10.4,17.4,0.9,41,80
"2","Arganzuela","26","Palos de la Frontera",0.648,0.436,58,93.1,0,0.5,0,31.2,92
"2","Arganzuela","27","Atocha",0.736,0.273,114,77.5,0,37.3,0,38.3,92
"3","Retiro","31","Pacífico",0.758,0.64,5,87,0,0.2,0,29.1,92
"3","Retiro","32","Adelfas",0.641,0.584,13,94,0,38.6,0,44.2,92
"3","Retiro","33","Estrella",1.026,0.47,43,96.1,26.6,38,22.8,53.6,21
"3","Retiro","34","Ibiza",0.492,0.421,65,92.2,7.8,1.6,0,33.9,92
"3","Retiro","35","Los Jerónimos",1.906,0.604,9,87.4,88,18.1,15.2,64.5,31
"3","Retiro","36","Niño Jesús",0.643,0.526,25,81.7,37.3,3.5,0,40.8,92
"4","Salamanca","41","Recoletos",0.873,0.292,105,98.3,14.6,30.9,0,47.9,92
"4","Salamanca","42","Goya",0.77,0.303,101,98.6,0,3.9,0,34.2,92
"4","Salamanca","43","Fuente del Berro",0.853,0.543,21,94,38.1,44.4,29.1,58.8,12
"4","Salamanca","44","Guindalera",1.603,0.486,37,96.4,1.4,27.9,0.1,41.9,89
"4","Salamanca","45","Lista",0.52,0.178,130,99.7,0,15.3,0,38.3,92
"4","Salamanca","46","Castellana",0.773,0.221,126,100,0,0,0,33.3,92
"5","Chamartín","51","El Viso",1.709,0.243,125,94.7,0.8,5.1,0,33.5,92
"5","Chamartín","52","Prosperidad",1.04,0.372,79,93.5,5.6,22.1,5.5,40.4,69
"5","Chamartín","53","Ciudad Jardín",0.762,0.468,47,86.8,12.1,41.4,12.1,46.8,39
"5","Chamartín","54","Hispanoamérica",1.713,0.402,73,88.5,7.6,34.9,6.7,43.7,57
"5","Chamartín","55","Nueva España",1.79,0.312,97,81.6,7.6,52.5,6.1,47.2,64
"5","Chamartín","56","Castilla",2.161,0.28,112,63,0,1.1,0,21.4,92
"6","Tetuán","61","Bellas Vistas",0.715,0.577,15,63.3,0.4,4.5,0.4,22.7,85
"6","Tetuán","62","Cuatro Caminos",1.185,0.371,81,87.7,0,13,0,33.6,92
"6","Tetuán","63","Castillejos",0.705,0.433,61,85.8,0,9.7,0,31.8,92
"6","Tetuán","64","Almenara",0.999,0.434,59,72.2,30.9,25.9,9.2,43,48
"6","Tetuán","65","Valdeacederas",1.163,0.525,26,88.3,39,35.5,26.2,54.3,17
"6","Tetuán","66","Berruguete",0.607,0.56,19,38.6,0,0.3,0,13,92
"7","Chamberí","71","Gaztambide",0.506,0.431,62,99.6,0,0,0,33.2,92
"7","Chamberí","72","Arapiles",0.578,0.408,71,92.3,0,33.7,0,42,92
"7","Chamberí","73","Trafalgar",0.612,0.249,123,90.6,0,4.8,0,31.8,92
"7","Chamberí","74","Almagro",0.938,0.41,70,93.8,0,9.3,0,34.4,92
"7","Chamberí","75","Ríos Rosas",0.975,0.383,77,83.6,0,25.7,0,36.4,92
"7","Chamberí","76","Vallehermoso",1.069,0.505,33,86.3,2.2,27.4,0,38.6,92
"8","Fuencarral - El Pardo","81","El Pardo",187.583,0.25,122,3.1,65.8,1.2,0.6,23.4,84
"8","Fuencarral - El Pardo","82","Fuentelarreina",1.383,0.328,93,52.7,48.1,41,17.5,47.3,29
